input_text,normalized_telugu
"railu number one two eight four five lo oka vikalaangudaina prayaneekudu bathroomlo padipoyadu, nadumuki gattiga debba thagili kadalalekapotunnadu, ayanaku vipareethamaina noppi valla shwasa teeskovadam kashtanga undi, thadupari junction stationlo wheelchair assistance mariyu prathama chikitsa brundhamni siddhanga unchandi.","రైలు నంబరు 12845 లో ఒక వికలాంగుడైన ప్రయాణీకుడు బాత్‌రూమ్‌లో పడిపోయాడు, నడుముకు గట్టిగా దెబ్బ తగిలి కదలలేకపోతున్నాడు. ఆయనకు విపరీతమైన నొప్పి వల్ల శ్వాస తీసుకోవడం కష్టంగా ఉంది, తదుపరి జంక్షన్ స్టేషన్‌లో వీల్‌చైర్ సహాయం మరియు ప్రథమ చికిత్స బృందాన్ని సిద్ధంగా ఉంచండి."
"మా అబ్బాయికి ఏదో తెలియని ఫుడ్ వల్ల తీవ్రమైన అనాఫిలాక్టిక్ అలర్జీ వచ్చింది, గొంతు వాచిపోయి శ్వాస పూర్తిగా ఆగిపోయే పరిస్థితి వచ్చింది, ఒళ్లంతా ఎర్రటి పొక్కులు వచ్చాయి, వెంటనే ఎపినెఫ్రిన్ ఇంజెక్షన్ ఇవ్వాలి, ఈ అర్ధరాత్రి వేళ ఆక్సిజన్ మరియు అలర్జీ మెడిసిన్ ఉన్న పెద్ద హాస్పిటల్ ఎక్కడ ఉందో చెప్పండి.","మా అబ్బాయికి ఏదో తెలియని ఆహారం వల్ల తీవ్రమైన అనాఫిలాక్టిక్ అలర్జీ వచ్చింది, గొంతు వాచిపోయి శ్వాస పూర్తిగా ఆగిపోయే పరిస్థితి వచ్చింది. శరీరం అంతా ఎర్రటి పొక్కులు వచ్చాయి, వెంటనే ఎపినెఫ్రిన్ ఇంజెక్షన్ ఇవ్వాలి, ఈ అర్ధరాత్రి వేళ ఆక్సిజన్ మరియు అలర్జీ మందులు ఉన్న పెద్ద ఆసుపత్రి ఎక్కడ ఉందో చెప్పండి."
"maa abbayiki edo teliyani food valla teevramaina anaphylactic allergy vachindi, gonthu vachipoyi shwasa poorthiga aagipoye paristhithi vachindi, ollantha errati pokkulu vachayi, ventane epinephrine injection ivvali, ee midnight vela oxygen mariyu allergy medicine unna pedda hospital ekkada undo cheppandi.","మా అబ్బాయికి ఏదో తెలియని ఆహారం... వల్ల... తీవ్రమైన అనాఫిలాక్టిక్ అలర్జీ వచ్చింది, గొంతు వాచిపోయి శ్వాస పూర్తిగా ఆగిపోయే పరిస్థితి వచ్చింది. శరీరం అంతా ఎర్రటి పొక్కులు వచ్చాయి, వెంటనే ఎపినెఫ్రిన్ ఇంజెక్షన్ ఇవ్వాలి, ఈ అర్ధరాత్రి వేళ ఆక్సిజన్... మరియు అలర్జీ మందులు ఉన్న పెద్ద ఆసుపత్రి ఎక్కడ ఉందో చెప్పండి."
"హైవే మీద ఘోరమైన ప్రమాదం జరిగింది, ఒక డయాబెటిక్ పేషెంట్ తీవ్రంగా గాయపడ్డారు, ఆయనకు రక్తం ఎక్కువగా పోవడం వల్ల షుగర్ లెవెల్స్ పడిపోయి కోమాలోకి వెళ్తున్నారు, మాకు ఓ నెగటివ్ రక్తం మరియు ఇన్సులిన్ లేదా గ్లూకోజ్ అత్యవసరంగా కావాలి, 24 గంటలు పనిచేసే బ్లడ్ బ్యాంక్ ఎక్కడ ఉందో లొకేషన్ పంపండి.","హైవే మీద ఘోరమైన ప్రమాదం జరిగింది, ఒక మధుమేహ రోగి తీవ్రంగా గాయపడ్డారు. ఆయనకు రక్తం ఎక్కువగా పోవడం... వల్ల షుగర్ లెవెల్స్ పడిపోయి కోమాలోకి వెళ్తున్నారు, మాకు ఓ నెగటివ్ రక్తం మరియు ఇన్సులిన్ లేదా గ్లూకోజ్ అత్యవసరంగా కావాలి. ఇరవై నాలుగు గంటలు పనిచేసే బ్లడ్ బ్యాంక్ ఎక్కడ ఉందో లొకేషన్ పంపండి."
"highway meeda ghoramaina pramadham jarigindi, oka diabetic patient teevramanga gayapaddaru, ayanaku raktham ekkuvaga povadam valla sugar levels padipoyi comaloki veltunnaru, maaku o negative raktham mariyu insulin leda glucose atyavasaranga kavali, 24 gantalu panichese blood bank ekkada undo location pampandi.","హైవే మీద ఘోరమైన ప్రమాదం జరిగింది, ఒక మధుమేహ రోగి... తీవ్రంగా గాయపడ్డారు. ఆయనకు రక్తం ఎక్కువగా పోవడం వల్ల షుగర్ లెవెల్స్ పడిపోయి కోమాలోకి వెళ్తున్నారు, మాకు ఓ నెగటివ్ రక్తం మరియు ఇన్సులిన్ లేదా గ్లూకోజ్ అత్యవసరంగా కావాలి. ఇరవై నాలుగు గంటలు పనిచేసే బ్లడ్ బ్యాంక్ ఎక్కడ ఉందో లొకేషన్ పంపండి."
"జ్వరం ఎక్కువగా ఉంటే పారాసిటమాల్ వేసుకోవచ్చా","జ్వరం ఎక్కువగా ఉన్నప్పుడు పారాసిటమాల్ టాబ్లెట్ వేసుకోవచ్చా?"
"jvaram ekkuvaga unte paracetamol veskovacha","జ్వరం ఎక్కువగా ఉన్నప్పుడు పారాసిటమాల్ టాబ్లెట్ వేసుకోవచ్చా?"
"యాక్సిడెంట్ అయినప్పుడు 108 కి కాల్ చేయాలా","రోడ్డు ప్రమాదం జరిగినప్పుడు వెంటనే నంబరు 108 కి ఫోన్ చేయాలా?"
"accident ayinappudu 108 ki call cheyala","రోడ్డు ప్రమాదం జరిగినప్పుడు వెంటనే నంబరు 108 కి ఫోన్ చేయాలా?"
"పాము కరిచిన వ్యక్తికి స్పృహ తప్పితే ఏం చేయాలి","పాము కరిచిన వ్యక్తికి స్పృహ తప్పిపోతే వెంటనే ఎటువంటి జాగ్రత్తలు తీసుకోవాలి?"
"paamu karicina vyakthiki spruha thappite em cheyali","పాము కరిచిన వ్యక్తికి స్పృహ తప్పిపోతే వెంటనే ఎటువంటి జాగ్రత్తలు తీసుకోవాలి?"
"కుక్క కాటుకి రేబీస్ వ్యాక్సిన్ ఎన్ని డోసులు వేసుకోవాలి","కుక్క కాటుకు రేబీస్ వ్యాక్సిన్ ఎన్ని డోసులు వేసుకోవాల్సి ఉంటుంది?"
"kukka kaatuki rabies vaccine enni dosulu veskovali","కుక్క కాటుకు రేబీస్ వ్యాక్సిన్ ఎన్ని డోసులు వేసుకోవాల్సి ఉంటుంది?"
"ఛాతిలో నొప్పి వస్తే అది గుండెపోటు అని ఎలా తెలుస్తుంది","ఛాతిలో నొప్పి వచ్చినప్పుడు అది గుండెపోటు అని ఎలా గుర్తించవచ్చు?"
"chateelo noppi vaste adi gundepotu ani ela telustundi","ఛాతిలో నొప్పి వచ్చినప్పుడు అది గుండెపోటు అని ఎలా గుర్తించవచ్చు?"
"బ్రెయిన్ స్ట్రోక్ వచ్చిన మొదటి గంటను ఏమంటారు","బ్రెయిన్ స్ట్రోక్ వచ్చిన మొదటి గంటను వైద్య పరిభాషలో ఏమంటారు?"
"brain stroke vachina modati gantanu emantaru","బ్రెయిన్ స్ట్రోక్ వచ్చిన మొదటి గంటను వైద్య పరిభాషలో ఏమంటారు?"
"గర్భధారణ సమయంలో బ్లీడింగ్ అవ్వడం ప్రమాదకరమా","గర్భధారణ సమయంలో అకస్మాత్తుగా బ్లీడింగ్ అవ్వడం ప్రమాదకరమా?"
"pregnancy samayamlo bleeding avvadam pramadakarama","గర్భధారణ సమయంలో అకస్మాత్తుగా బ్లీడింగ్ అవ్వడం ప్రమాదకరమా?"
"ప్రసవ నొప్పులు ఎంత సమయం ఉంటాయి","సాధారణంగా ప్రసవ నొప్పులు ఎంత సమయం వరకు ఉండే అవకాశం ఉంది?"
"prasava noppulu entha samayam untayi","సాధారణంగా ప్రసవ నొప్పులు ఎంత సమయం వరకు ఉండే అవకాశం ఉంది?"
"హైపోగ్లైసీమియా అంటే షుగర్ పడిపోవడమేనా","హైపోగ్లైసీమియా అంటే షుగర్ లెవెల్స్ పడిపోవడమేనా, వివరించండి."
"hypoglycemia ante sugar padipovadameena","హైపోగ్లైసీమియా అంటే షుగర్ లెవెల్స్ పడిపోవడమేనా, వివరించండి."
"అస్తమా రోగులు ఇన్హేలర్ రోజుకు ఎన్నిసార్లు వాడాలి","అస్తమా రోగులు ఇన్హేలర్ రోజుకు ఎన్ని సార్లు వాడాలి?"
"asthma rogulu inhaler rojuku ennisarlu vaadali","అస్తమా రోగులు ఇన్హేలర్ రోజుకు ఎన్ని సార్లు వాడాలి?"
"ఫుడ్ అలర్జీ వల్ల శ్వాస ఆడకపోతే ఏం చేయాలి","ఆహార అలర్జీ వల్ల శ్వాస ఆడకపోతే వెంటనే ఎటువంటి అత్యవసర చికిత్స చేయాలి?"
"food allergy valla shwasa aadakapothe em cheyali","ఆహార అలర్జీ వల్ల శ్వాస ఆడకపోతే వెంటనే ఎటువంటి అత్యవసర... చికిత్స చేయాలి?"
"యాసిడ్ తాగిన వ్యక్తికి వాంతులు చేయించవచ్చా","యాసిడ్ లేదా విషం తాగిన వ్యక్తికి బలవంతంగా వాంతులు చేయించవచ్చా?"
"acid thagina vyakthiki vanthulu cheyincavacha","యాసిడ్ లేదా విషం తాగిన వ్యక్తికి బలవంతంగా వాంతులు చేయించవచ్చా?"
"డీహైడ్రేషన్ వల్ల తలనొప్పి వస్తుందా","శరీరంలో డీహైడ్రేషన్ సమస్య వల్ల తీవ్రమైన తలనొప్పి వస్తుందా?"
"dehydration valla thalanoppi vostunda","శరీరంలో డీహైడ్రేషన్ సమస్య వల్ల తీవ్రమైన తలనొప్పి వస్తుందా?"
"హీట్ స్ట్రోక్ వచ్చిన వ్యక్తి శరీరాన్ని ఎలా చల్లబరచాలి","హీట్ స్ట్రోక్ లేదా ఎండదెబ్బ తగిలిన వ్యక్తి శరీరాన్ని ఎలా చల్లబరచాలి?"
"heat stroke vachina vyakthi shareeranni ela challabarachali","హీట్... స్ట్రోక్ లేదా ఎండదెబ్బ తగిలిన వ్యక్తి శరీరాన్ని ఎలా చల్లబరచాలి?"
"ఆత్మహత్య ఆలోచనలు వస్తే ఎవరిని సంప్రదించాలి","ఆత్మహత్య ఆలోచనలు వస్తున్నప్పుడు ఏ హెల్ప్‌లైన్ నంబరును సంప్రదించాలి?"
"suicidal thoughts voste evarini sampradinchali","ఆత్మహత్య ఆలోచనలు వస్తున్నప్పుడు ఏ హెల్ప్‌లైన్ నంబరును సంప్రదించాలి?"
"పానిక్ ఎటాక్ మరియు గుండెపోటు మధ్య తేడా ఏంటి","పానిక్ ఎటాక్ మరియు గుండెపోటు లక్షణాల మధ్య గల ముఖ్యమైన తేడా ఏమిటి?"
"panic attack mariyu gundepotu madhya theda enti","పానిక్ ఎటాక్... మరియు గుండెపోటు లక్షణాల మధ్య గల ముఖ్యమైన తేడా ఏమిటి?"
"హైవే పక్కన ట్రౌమా కేర్ సెంటర్స్ ఎక్కడ ఉన్నాయి","జాతీయ రహదారి లేదా హైవే సమీపంలో ట్రామా కేర్ సెంటర్లు ఎక్కడెక్కడ ఉన్నాయి?"
"highway pakkana trauma care centers ekkada unnay","జాతీయ రహదారి లేదా హైవే సమీపంలో ట్రామా కేర్ సెంటర్లు ఎక్కడెక్కడ ఉన్నాయి?"
"24 గంటలు పనిచేసే ఫార్మసీలు నగరంలో ఎక్కడ ఉన్నాయి","నగరంలో ఇరవై నాలుగు గంటలు తెరిచి ఉండే ఫార్మసీలు ఎక్కడ ఉన్నాయి?"
"24 gantalu panichese pharmacies nagaramlo ekkada unnay","నగరంలో ఇరవై నాలుగు గంటలు తెరిచి ఉండే ఫార్మసీలు ఎక్కడ ఉన్నాయి?"
"అంబులెన్స్ సర్వీస్ ఛార్జీలు కిలోమీటర్ కి ఎంత ఉంటాయి","అంబులెన్స్ సర్వీస్ ఛార్జీలు ఒక కిలోమీటరుకు సుమారు ఎంత ఉంటాయి?"
"ambulance service charges kilometer ki entha untayi","అంబులెన్స్ సర్వీస్ ఛార్జీలు ఒక కిలోమీటరుకు సుమారు ఎంత ఉంటాయి?"
"బ్లడ్ బ్యాంక్ లో రక్తం తీసుకోవడానికి ఏ పత్రాలు కావాలి","బ్లడ్ బ్యాంక్ నుండి రక్తం పొందడానికి ఎటువంటి పత్రాలు సమర్పించాలి?"
"blood bank lo blood teeskovadaniki ae patralu kavali","బ్లడ్ బ్యాంక్ నుండి రక్తం పొందడానికి ఎటువంటి పత్రాలు సమర్పించాలి?"
"ఆక్సిజన్ సిలిండర్ రీఫిల్లింగ్ సెంటర్స్ ఎక్కడ ఉన్నాయి","నగరంలో ఆక్సిజన్ సిలిండర్ రీఫిల్లింగ్ సెంటర్లు ఎక్కడెక్కడ ఉన్నాయి?"
"oxygen cylinder refilling centers ekkada unnay","నగరంలో ఆక్సిజన్... సిలిండర్ రీఫిల్లింగ్ సెంటర్లు ఎక్కడెక్కడ ఉన్నాయి?"
"వృద్ధులకు గుండెపోటు వచ్చే అవకాశాలు ఎక్కువనా","వృద్ధులలో గుండెపోటు లేదా హార్ట్ అటాక్ వచ్చే అవకాశాలు ఎక్కువగా ఉంటాయా?"
"elderly ki heart attack vacche avakasalu ekkuvana","వృద్ధులలో గుండెపోటు లేదా హార్ట్ అటాక్ వచ్చే... అవకాశాలు ఎక్కువగా ఉంటాయా?"
"గర్భిణీ స్త్రీలు ఏ నెల వరకు ప్రయాణాలు చేయవచ్చు","గర్భిణీ స్త్రీలు సాధారణంగా ఎన్నో నెల వరకు సురక్షితంగా ప్రయాణాలు చేయవచ్చు?"
"pregnant women ae nela varaku prayanalu cheyavachu","గర్భిణీ స్త్రీలు సాధారణంగా ఎన్నో నెల వరకు సురక్షితంగా ప్రయాణాలు చేయవచ్చు?"
"పిల్లలలో ఫిట్స్ వస్తే తీసుకోవలసిన జాగ్రత్తలు ఏమిటి","పిల్లలలో అకస్మాత్తుగా ఫిట్స్ వచ్చినప్పుడు తీసుకోవలసిన జాగ్రత్తలు ఏమిటి?"
"children lo fits voste teeskovalasin jagrattalu emiti","పిల్లలలో అకస్మాత్తుగా ఫిట్స్ వచ్చినప్పుడు తీసుకోవలసిన జాగ్రత్తలు ఏమిటి?"
"టూరిస్టులకు మెడికల్ ఎమర్జెన్సీ వస్తే ప్రభుత్వ సహాయం ఉందా","విదేశీ లేదా ఇతర రాష్ట్రాల పర్యాటకులకు వైద్య అత్యవసర స్థితిలో ప్రభుత్వ సహాయం లభిస్తుందా?"
"tourists ki medical emergency voste govt sahayam unda","విదేశీ లేదా ఇతర రాష్ట్రాల పర్యాటకులకు వైద్య అత్యవసర... స్థితిలో ప్రభుత్వ సహాయం లభిస్తుందా?"
"వికలాంగ ప్రయాణీకుల కొరకు రైల్వే స్టేషన్‌లో మెడికల్ రూమ్ ఉందా","వికలాంగ ప్రయాణీకుల కొరకు రైల్వే స్టేషన్‌లో ప్రత్యేక వైద్య గది అందుబాటులో ఉందా?"
"disabled travelers kosam railway stationlo medical room unda","వికలాంగ ప్రయాణీకుల కొరకు రైల్వే... స్టేషన్‌లో ప్రత్యేక వైద్య గది అందుబాటులో ఉందా?"
"మా తాతయ్యకు వయసు ఎనభై ఏళ్లు, ఆయనకు హఠాత్తుగా మతిస్థిమితం తప్పి రోడ్డు మీదకు వెళ్ళిపోయారు, ఎండ దెబ్బ తగలడం వల్ల డీహైడ్రేషన్ అయి స్పృహ కోల్పోయారు, శరీరం అంతా చల్లబడిపోతోంది, వెంటనే వృద్ధుల సంరక్షణ మరియు అత్యవసర చికిత్స సదుపాయం ఉన్న కార్డియాక్ ఆంబులెన్స్ పంపండి.","మా తాతయ్య వయసు ఎనభై సంవత్సరాలు, ఆయనకు అకస్మాత్తుగా మతిస్థిమితం తప్పి రోడ్డు మీదకు వెళ్ళిపోయారు. ఎండదెబ్బ తగలడం వల్ల డీహైడ్రేషన్ అయి స్పృహ కోల్పోయారు, శరీరం అంతా చల్లబడిపోతోంది. వెంటనే వృద్ధుల సంరక్షణ మరియు అత్యవసర చికిత్స సదుపాయం ఉన్న కార్డియాక్ అంబులెన్స్ పంపండి."
"maa tathayyaku vayasu enabhai ellu, ayanaku hathathuga mathisthimitham thappi roddu meedaku vellipoyaru, enda debba thagali dehydration ayi spruha kolpoyaru, shareeram antha challabadipotondi, ventane vruddhula samrakshana mariyu atyavasara chikitsa sadupayam unna cardiac ambulance pampandi.","మా తాతయ్య వయసు ఎనభై సంవత్సరాలు, ఆయనకు అకస్మాత్తుగా మతిస్థిమితం తప్పి రోడ్డు మీదకు వెళ్ళిపోయారు. ఎండదెబ్బ తగలడం... వల్ల డీహైడ్రేషన్ అయి స్పృహ కోల్పోయారు, శరీరం అంతా చల్లబడిపోతోంది. వెంటనే వృద్ధుల సంరక్షణ... మరియు అత్యవసర చికిత్స సదుపాయం... ఉన్న కార్డియాక్ అంబులెన్స్ పంపండి."
"జాతీయ రహదారిపై ఘోరమైన యాక్సిడెంట్ జరిగింది, కారులో ఉన్న ఒక గర్భిణీ స్త్రీకి పొట్టకు గట్టిగా దెబ్బ తగలడం వల్ల బ్లీడింగ్ అవుతోంది మరియు ప్రసవ నొప్పులు ప్రారంభమయ్యాయి, ఆమె స్పృహ కోల్పోతోంది, ఈ హైవే పక్కన బ్లడ్ బ్యాంక్ మరియు ఎమర్జెన్సీ థియేటర్ ఉన్న మల్టీస్పెషాలిటీ హాస్పిటల్ ఎక్కడ ఉందో చెప్పండి.","జాతీయ రహదారిపై ఘోరమైన ప్రమాదం జరిగింది, కారులో ఉన్న ఒక గర్భిణీ స్త్రీకి పొట్టకు గట్టిగా దెబ్బ తగలడం వల్ల బ్లీడింగ్ అవుతోంది మరియు ప్రసవ నొప్పులు ప్రారంభమయ్యాయి. ఆమె స్పృహ కోల్పోతోంది, ఈ హైవే సమీపంలో బ్లడ్ బ్యాంక్... మరియు అత్యవసర ఆపరేషన్ థియేటర్ ఉన్న మల్టీస్పెషాలిటీ ఆసుపత్రి ఎక్కడ ఉందో చెప్పండి."
"jaatheeya rahadaripi ghoramaina accident jarigindi, carlo unna oka garbhinee streeki pottaku gattiga debba thagali bleeding avtondi mariyu prasava noppulu prarambhamayyay, aame spruha kolpotondi, ee highway pakkana blood bank mariyu emergency theatre unna multispeciality hospital ekkada undo cheppandi.","జాతీయ... రహదారిపై ఘోరమైన ప్రమాదం జరిగింది, కారులో ఉన్న ఒక గర్భిణీ స్త్రీకి పొట్టకు గట్టిగా దెబ్బ తగలడం వల్ల బ్లీడింగ్ అవుతోంది మరియు ప్రసవ నొప్పులు ప్రారంభమయ్యాయి. ఆమె స్పృహ కోల్పోతోంది, ఈ హైవే సమీపంలో బ్లడ్ బ్యాంక్... మరియు అత్యవసర ఆపరేషన్ థియేటర్ ఉన్న మల్టీస్పెషాలిటీ ఆసుపత్రి ఎక్కడ ఉందో చెప్పండి."
"మా అబ్బాయి వయసు మూడేళ్లు, ఇంట్లో ఆడుకుంటూ పొరపాటున ఎలుకల మందు తాగేశాడు, నోట్లో నుంచి నురగ వస్తోంది, కడుపు నొప్పితో విలవిలలాడిపోతున్నాడు, ఇది ఒక సీవియర్ పాయిజనింగ్ ఎమర్జెన్సీ, మాకు వెంటనే ఐసీయూ అంబులెన్స్ బుకింగ్ కావాలి మరియు పాయిజన్ యాంటీడోట్ అందుబాటులో ఉన్న హాస్పిటల్ వివరాలు చెప్పండి.","మా అబ్బాయి వయసు మూడు సంవత్సరాలు, ఇంట్లో ఆడుకుంటూ పొరపాటున ఎలుకల మందు తాగేశాడు. నోటి నుండి నురగ వస్తోంది, కడుపు నొప్పితో విలవిలలాడిపోతున్నాడు, ఇది ఒక తీవ్రమైన పాయిజనింగ్ అత్యవసర స్థితి. మాకు వెంటనే ఐసీయూ అంబులెన్స్ బుకింగ్ కావాలి మరియు పాయిజన్ యాంటీడోట్ అందుబాటులో ఉన్న ఆసుపత్రి వివరాలు చెప్పండి."
"maa abbayi vayasu moodeellu, intlo aadukuntu porapatuna elukala mandu thageshadu, notlo nunchi nuraga vostondi, kadupu noppitho vilavilaladipothunnadu, idi oka severe poisoning emergency, maaku ventane icu ambulance booking kavali mariyu poison antidote andubatulo unna hospital vivaralu cheppandi.","మా అబ్బాయి వయసు మూడు సంవత్సరాలు, ఇంట్లో ఆడుకుంటూ పొరపాటున ఎలుకల మందు తాగేశాడు. నోటి నుండి నురగ వస్తోంది, కడుపు నొప్పితో విలవిలలాడిపోతున్నాడు, ఇది ఒక తీవ్రమైన పాయిజనింగ్ అత్యవసర... స్థితి. మాకు వెంటనే ఐసీయూ అంబులెన్స్ ಬುಕ್ಕಿಂಗ್ కావాలి మరియు పాయిజన్ యాంటీడోట్ అందుబాటులో ఉన్న ఆసుపత్రి... వివరాలు చెప్పండి."
"ఒక టూరిస్ట్ బృందం ప్రయాణిస్తున్న బస్సు హైవే మీద యాక్సిడెంట్‌కి గురైంది, అందులో చాలా మంది విదేశీయులు ఉన్నారు, ఒకరికి బ్రెయిన్ స్ట్రోక్ వచ్చి ఒక పక్క పక్షవాతం లక్షణాలు కనిపిస్తున్నాయి, రక్తం కూడా బాగా కారుతోంది, మాకు ఎమర్జెన్సీ అంబులెన్స్ సేవలు మరియు ఓ నెగటివ్ బ్లడ్ ఉన్న బ్లడ్ బ్యాంక్ ఇమీడియట్‌గా కావాలి.","ఒక టూరిస్ట్ బృందం ప్రయాణిస్తున్న బస్సు హైవే మీద ప్రమాదానికి గురైంది, అందులో చాలా మంది విదేశీయులు ఉన్నారు. ఒకరికి బ్రెయిన్ స్ట్రోక్ వచ్చి ఒక వైపు పక్షవాతం లక్షణాలు కనిపిస్తున్నాయి, రక్తం కూడా బాగా కారుతోంది. మాకు అత్యవసర అంబులెన్స్ సేవలు మరియు ఓ నెగటివ్ బ్లడ్ అందుబాటులో ఉన్న బ్లడ్ బ్యాంక్ వెంటనే కావాలి."
"oka tourist brundham prayanistunna bus highway meeda accidentki gurayindi, andulo chala mandi videsiyulu unnaru, okariki brain stroke vachi oka pakka pakshavatha lakshanalu kanipistunnayi, raktham kooda baga karutondi, maaku emergency ambulance sevalu mariyu o negative blood unna blood bank immediately kavali.","ఒక టూరిస్ట్ బృందం ప్రయాణిస్తున్న బస్సు హైవే మీద ప్రమాదానికి గురైంది, అందులో చాలా మంది విదేశీయులు ఉన్నారు. ఒకరికి బ్రెయిన్ స్ట్రోక్ వచ్చి ఒక వైపు పక్షవాతం లక్షణాలు కనిపిస్తున్నాయి, రక్తం కూడా బాగా కారుతోంది. మాకు అత్యవసర అంబులెన్స్ సేవలు మరియు ఓ నెగటివ్ బ్లడ్ అందుబాటులో ఉన్న బ్లడ్ బ్యాంక్ వెంటనే కావాలి."
"మా సిస్టర్‌కి విపరీతమైన ఆందోళన మరియు డిప్రెషన్ వల్ల భయంకరమైన పానిక్ ఎటాక్ వచ్చింది, గుండె ఆగిపోతుందేమో అనే భయంతో శ్వాస తీసుకోలేకపోతోంది, ఇది మానసిక ఆరోగ్య సంక్షోభం, ఈ అర్ధరాత్రి వేళ ఆమెను హాస్పిటల్‌కి తీసుకెళ్లడానికి అంబులెన్స్ మరియు ఒక సైకియాట్రిస్ట్ కౌన్సిలింగ్ సదుపాయం అర్జంట్‌గా కావాలి.","మా సోదరికి తీవ్రమైన ఆందోళన మరియు డిప్రెషన్ వల్ల భయంకరమైన పానిక్ ఎటాక్ వచ్చింది. గుండె ఆగిపోతుందేమో అనే భయంతో శ్వాస తీసుకోలేకపోతోంది, ఇది ఒక మానసిక ఆరోగ్య సంక్షోభం. ఈ అర్ధరాత్రి వేళ ఆమెను ఆసుపత్రికి తీసుకెళ్ళడానికి అంబులెన్స్ మరియు ఒక సైకియాట్రిస్ట్ కౌన్సిలింగ్ సదుపాయం అత్యవసరంగా కావాలి."
"maa sisterki vipareethamaina aandholana mariyu depression valla bhayankaraina panic attack vachindi, gunde aagipotundemo ane bhayamtho shwasa teeskoilekapotondi, idi manasika aarogya samkshobham, ee midnight vela aamenu hospitalki teesukelladaniki ambulance mariyu oka psychiatrist counseling sadupayam urgently kavali.","మా సోదరికి తీవ్రమైన ఆందోళన మరియు డిప్రెషన్ వల్ల భయంకరమైన పానిక్... ఎటాక్ వచ్చింది. గుండె ఆగిపోతుందేమో అనే భయంతో శ్వాస తీసుకోలేకపోతోంది, ఇది ఒక మానసిక ఆరోగ్య సంక్షోభం. ఈ అర్ధరాత్రి వేళ ఆమెను ఆసుపత్రికి తీసుకెళ్ళడానికి అంబులెన్స్ మరియు ఒక సైకియాట్రిస్ట్ కౌన్సిలింగ్ సదుపాయం అత్యవసరంగా కావాలి."
"హైవే నంబరు ఐదు మీద వెళ్తుండగా మా తమ్ముడిని ఒక పిచ్చి కుక్క కరిచింది, కాటు గట్టిగా పడడం వల్ల రక్తం విపరీతంగా కారుతోంది, ఆయన డయాబెటిక్ పేషెంట్ కావడం వల్ల ఇన్ఫెక్షన్ భయం ఎక్కువగా ఉంది, హైవే పక్కన యాంటీ రేబీస్ ఇంజెక్షన్ మరియు అత్యవసర వైద్య సదుపాయం ఉన్న హాస్పిటల్ ఎక్కడ ఉందో వెంటనే చెప్పండి.","జాతీయ రహదారి నంబరు ఐదు మీద వెళ్తుండగా మా తమ్ముడిని ఒక పిచ్చి కుక్క కరిచింది. కాటు గట్టిగా పడడం వల్ల రక్తం విపరీతంగా కారుతోంది, ఆయన మధుమేహ రోగి కావడం వల్ల ఇన్ఫెక్షన్ వచ్చే ప్రమాదం ఎక్కువగా ఉంది. హైవే సమీపంలో యాంటీ రేబీస్ ఇంజెక్షన్ మరియు అత్యవసర వైద్య సదుపాయం ఉన్న ఆసుపత్రి ఎక్కడ ఉందో వెంటనే చెప్పండి."
"highway namberu aidu meeda veltundaga maa thammudini oka picchi kukka karicindi, kaatu gattiga padadam valla raktham vipareethamanga karutondi, ayana diabetic patient kavadam valla infection bhayam ekkuvaga undi, highway pakkana anti rabies injection mariyu atyavasara vaidya sadupayam unna hospital ekkada undo ventane cheppandi.","జాతీయ రహదారి నంబరు ఐదు... మీద వెళ్తుండగా మా తమ్ముడిని ఒక పిచ్చి కుక్క కరిచింది. కాటు గట్టిగా పడడం వల్ల రక్తం విపరీతంగా కారుతోంది, ఆయన మధుమేహ రోగి కావడం వల్ల ఇన్ఫెక్షన్ వచ్చే ప్రమాదం ఎక్కువగా ఉంది. హైవే సమీపంలో యాంటీ రేబీస్ ఇంజెక్షన్... మరియు అత్యవసర వైద్య సదుపాయం ఉన్న ఆసుపత్రి ఎక్కడ ఉందో వెంటనే చెప్పండి."
"మా అబ్బాయి తీవ్రమైన శ్వాసకోశ సమస్యతో బాధపడుతున్నాడు, హఠాత్తుగా అస్తమా అటాక్ పెరగడం వల్ల ఊపిరి పీల్చుకోవడం పూర్తిగా ఆగిపోయే పరిస్థితి వచ్చింది, ఇంట్లో ఉన్న నెబ్యులైజర్ మెషిన్ పనిచేయడం లేదు, మాకు అత్యవసరంగా ఆక్సిజన్ సిలిండర్ లభ్యత ఉన్న హాస్పిటల్ కావాలి, దయచేసి ఎమర్జెన్సీ అంబులెన్స్ పంపండి ప్రాణాలు కాపాడండి.","మా అబ్బాయి తీవ్రమైన శ్వాసకోశ సమస్యతో బాధపడుతున్నాడు. హఠాత్తుగా అస్తమా అటాక్ పెరగడం వల్ల ఊపిరి పీల్చుకోవడం పూర్తిగా ఆగిపోయే పరిస్థితి వచ్చింది, ఇంట్లో ఉన్న నెబ్యులైజర్ మెషిన్ పనిచేయడం లేదు. మాకు అత్యవసరంగా ఆక్సిజన్ సిలిండర్ లభ్యత ఉన్న ఆసుపత్రి కావాలి, దయచేసి ఎమర్జెన్సీ అంబులెన్స్ పంపి ప్రాణాలు కాపాడండి."
